_id,job_source,job_com_info_com_name,job_com_info_creditNo,job_com_info_econKind,job_com_is_listed,job_com_stock_code,job_com_listed_relation,company_industry,company_scale,post_year,post_month,post_day,job_name,occupation_code1,occupation_code2,occupation_code3,min_job_num,max_job_num,job_city,job_district,job_com_info_location,job_work_mode,min_monthincm,max_monthincm,min_dayincm,max_dayincm,min_hourincm,max_hourincm,job_social_insurance,job_descrip,job_edu,job_collegetype,job_prof,job_profc1,job_profc2,job_profc3,job_profc4,job_profc5,job_profc6,job_profc7,job_profc8,job_profc9,job_profc10,job_profc11,job_profc12,job_skill,job_certi,job_experience,job_type,job_new,job_workday,job_workhr,ai_job,job_ai_skill,Unnamed: 55
69c0d81ba9fcc89dd2b05cd9,1,深圳市瑞嘉珠宝有限公司,91440300685378929T,4,0,-8,,8,2,2025,3,10,珠宝销售顾问,4-01-02,,,,,深圳,宝安区,深圳市罗湖区东晓街道独树社区布心路3008号水贝珠宝总部大厦A座4812,1,4000,8000,-9,-9,-9,-9,1,"1. 解答顾客的提问，提供良好的顾客服务，负责店内货品的销售及安全；
    2. 负责做好货品销售记录、盘点、账目核对等工作，按规定完成销售统计工作；
    3. 完成商品的来货验收、上架陈列摆放、补货、退货、防损等日常营业工作。",4,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,"1、 一年以上销售工作经验，口齿伶俐，礼貌待人
2、 高中以上学历，五官端正，气质良好
3、 具备一定销售技巧
4、 诚信、积极、有责任心及团队合作精神，能承受一定工作压力",0,1,-9,0,3.5,-9.0,0,0,
69c0d81ba9fcc89dd2b05cda,1,91441900756489918Y,91441900756489918Y,5,0,-8,,13,3,2025,3,10,硬件工程师,2-02-10,2-02-09,,,,深圳,福田区,东莞市南城宏远工业区,1,12000,18000,-9,-9,-9,-9,1,"1. 负责嵌入式硬件设计与开发，包括元器件选型、原理图设计和PCB layout；
    2. 负责样机的测试和调试；
    3. 总结设计经验和调试试验结果并形成文件；
    4. 协助产线解决批量生产过程中出现的硬件问题。",6,0,1+电子信息,0,0,0,0,0,0,0,1,0,0,0,0,"1、本科以上学历，电子信息相关专业
2、两年以上硬件设计工作经验，可使用Cadence、AD、PADS等工具绘制原理图，并使用Allegro、PADS等软件设计PCB，具有无线设备设计经验者更佳
3、熟练使用示波器、网络分析仪、综合测试仪等常用测试仪器，能独立搭建测试平台并对常用参数进行测试，根据测试结果调整电路设计
4、与软件工程师合作调试和优化产品
5、熟悉产品生产工艺，并能解决生产过程中出现的问题
6、工作态度积极，责任心强，善于总结和学习，具有良好的团队沟通能力",0,1,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05cdb,1,中检集团(深圳)汽车科技有限公司,91440300MA5EL1XB69,4,0,-8,,12,1,2025,3,10,.NET开发工程师,2-02-10,,,,,深圳,南山区,深圳市南山区粤海街道科技园科技路9号桑达科技工业大厦2层223单元,1,10000,20000,-9,-9,-9,-9,0,1. 独立编写中等规模应用程序；精通ASP.NET、C#等语言，熟练使用Vs2017开发工具进行B/S系统开发；精通mssql数据库开发、配置、维护、性能优化；熟悉html、CSS、Xml、Javascript、Jquery、Ajax等WEB开发技术；熟悉vue/Extjs等前端框架和工程化优先；拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；热爱开发工作，团队合作意识良好、责任感强、有较强的沟通能力和抗压能力。,5,-8,1+计算机,0,0,0,0,0,0,0,1,0,0,0,0,"1. 计算机或相关专业本科或以上学历  
2. 二年以上ASP.NET开发经验，能够独立编写中等规模应用程序  
3. 精通ASP.NET、C#等语言，并能熟练使用Vs2017开发工具进行B/S系统开发  
4. 精通mssql数据库开发、配置、维护、性能优化  
5. 熟悉html、CSS、Xml、Javascript、Jquery、Ajax等WEB开发技术  
6. 熟悉vue/Extjs等前端框架和工程化优先  
7. 拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低  
8. 热爱开发工作，团队合作意识良好、责任感强、有较强的沟通能力和抗压能力",0,1,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05cdc,1,911101085923662400,911101085923662400,6,0,-8,,7,3,2025,3,10,产品经理,2-02-38,2-02-10,,,,深圳,南山区,北京市海淀区北三环西路甲23号院1号楼2层222,1,15000,20000,-9,-9,-9,-9,1,"1. 对接游戏业务团队，灵活运用各安全平台工具，通过数据分析与策略运营，对游戏黑产进行治理，减少黑产收益，为游戏项目的最终治理效果负责；
    2. 深入理解各类安全问题场景与对应的安全解决方案，在项目安全接入、玩法设计、线上安全问题处置时，以业务视角给予专业判断和安全建议，平衡业务安全与业务运营目标、玩家体验之间的关系；
    3. 挖掘业务与安全的对接痛点，完善安全对接机制，形成安全通用解决方案，持续提升安全治理效果与运营效率。",6,0,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、本科及以上学历，2年以上游戏行业或者安全行业工作经验优先;2、有游戏安全、互联网产品风控、系统安全、黑灰产情报、游戏安全运营工作经验优先;3、具备数据敏感度，善于利用工具进行高效的数据分析与结果论证，熟练掌握SQL等数据分析语言优先;4、具备良好的沟通能力，能够进行跨部门跨团队的沟通;5、熟悉常见游戏类型玩法特点与安全风险，对游戏行业动态保持关注。,0,1,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05cdd,1,大连中天软件科技有限公司,91210204335836854N,4,0,-8,,13,1,2025,3,10,IT技术支持,4-04-05,,,,,大连,中山区,辽宁省大连市沙河口区如意街38号19层12号,1,3000,6000,-9,-9,-9,-9,1,"1. 协助业务为客户提供售前技术方案、售后技术支持；
    2. 为客户提供电话咨询、远程在线及现场等方式的售后服务，解决公司产品在客户现场的各类售后服务问题；
    3. 与客户进行技术交流，产品培训，培养客户关系，保持良好的沟通；
    4. 及时完成项目问题分析报告，整理并反馈设备的使用情况。",5,-8,"1+计算机专业,相关专业",0,0,0,0,0,0,0,1,0,0,0,0,1、计算机专业或相关专业2、熟悉windows操作系统安装及配置3、电脑硬件故障判断，网络环境配置4、掌握SQL等命令，熟悉Oracle和sqlserver数据库安装及配置5、有良好的沟通能力，逻辑思维清晰6、认真严谨，踏实稳重，有很强的工作责任心,0,1,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05cde,1,黑龙江三笠科技有限公司,91230607MA1BWN137D,4,0,-8,,7,-9,2025,3,10,小学语数外问答老师,2-08-99,4-13-04,,,,大连,-9,黑龙江省大庆市龙凤区高新区创业新街4号乾和城小区B3＃商业楼四层北侧4009室,1,3000,4000,-9,-9,-9,-9,1,1. 解答小学生提出的小学语数外对应科目问题，纸笔作答，拍照上传。,6,0,1+本专业,0,0,0,1,1,0,0,1,0,0,0,0,1、解答小学生提出的小学语数外对应科目问题，纸笔作答，拍照上传；具备相关的教育经验，有足够的知识储备解答学生提问；在职公立私立教师、机构教师优先、本专业在校生、毕业生在有足够知识储备解答提问的情况下亦可；项目要求正确率,0,0,2,1,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05cdf,1,92210281MA0UBM7P35,92210281MA0UBM7P35,4,0,-8,,12,1,2025,3,10,广告后期制作,6-08-01,,,,,大连,瓦房店市,辽宁省大连市瓦房店市西长春路西段146号3123室,1,10000,11000,-9,-9,-9,-9,0,1. 广告公司写真喷绘后期制作。,4,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、广告公司写真喷绘后期制作人员,0,0,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05ce0,1,大连乔治巴顿健身有限公司,91210231MA0TRU651H,4,0,-8,,15,1,2025,3,10,健身教练,4-14-05,,,3.0,5.0,大连,甘井子区,辽宁省大连高新技术产业园区世达街15号地下1层3号,1,6000,11000,-9,-9,-9,-9,0,1. 承担健身课程教学任务（根据上下文：有会员分配，入职后就有课上，负责教学）。,0,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、有经验者优先,0,0,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05ce1,1,大连智仁智矿科技有限公司,91210231MA0YNLXHXP,4,0,-8,,3,-9,2025,3,10,产品经理,2-02-34,2-06-07,,,,大连,甘井子区,辽宁省大连市甘井子区凌水镇七贤岭任贤街12号1F103,1,8000,12000,-9,-9,-9,-9,1,"1. 负责煤炭矿山行业的信息化需求分析研究，进行煤炭矿山行业软件产品线规划；
    2. 能够从业务需求出发，对业务数据进行深挖分析，寻找产品切入点，规划和完善平台和APP产品；
    3. 负责完成产品行业调研、产品需求生成、解决方案制作，软件原型制作等；
    4. 负责衔接公司产品研发、业务、销售等相关部门的联络工作，参与建议并跟进落实开发；
    5. 负责产品开发过程中的需求管理与跟踪，组织产品测试，后期产品培训等；
    6. 负责公司研发中心产品运营包装、产品演示和其他产品推广工作。",6,0,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、统招本科及以上学历，有互联网产品行业经验，有过软件开发相关经验者优先;2、具有较强的观察力、执行力和出色的产品方案策划设计能力，能够独立完成解决方案的制作;3、熟练使用Axure、Visio等工具，能够独立完成流程图、原型图的制作;4、良好的职业道德及团队协作精神，思路清晰、敏捷，善于对信息快速提炼、整合;5、责任心强，善于主动学习，能够承受较大工作压力，接受出差，很好的服从工作安排;6、有煤炭矿山信息化项目建设经验，或工业信息化/物联网经验者优先。,0,3,-9,0,-9.0,-9.0,0,0,
69c0d81ba9fcc89dd2b05ce2,1,-9,-9,-9,-8,-8,,-9,-9,2025,3,10,实木定制设计师,4-08-08,,,,,大连,甘井子区,-9,1,4000,9000,-9,-9,-9,-9,0,1. 全屋实木定制范围，衣柜酒柜橱柜墙板等定制类产品的现场测尺与设计。,4,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、全屋实木定制范围，衣柜酒柜橱柜墙板等定制类产品的现场测尺与设计。,0,1,-9,0,-9.0,-9.0,0,0,
