_id,job_source,job_com_info_com_name,job_com_info_creditNo,job_com_info_econKind,job_com_is_listed,job_com_stock_code,job_com_listed_relation,company_industry,company_scale,post_year,post_month,post_day,job_name,occupation_code1,occupation_code2,occupation_code3,min_job_num,max_job_num,job_city,job_district,job_com_info_location,job_work_mode,min_monthincm,max_monthincm,min_dayincm,max_dayincm,min_hourincm,max_hourincm,job_social_insurance,job_descrip,job_edu,job_collegetype,job_prof,job_profc1,job_profc2,job_profc3,job_profc4,job_profc5,job_profc6,job_profc7,job_profc8,job_profc9,job_profc10,job_profc11,job_profc12,job_skill,job_certi,job_experience,job_type,job_new,job_workday,job_workhr,ai_job,job_ai_skill
697b28baa224588b461e1bce,1,深圳市雄帝科技股份有限公司,56425199,10,0,-8,,-9,-9,2025,9,10,Android开发工程师,2-02-10,,,,,长沙,岳麓区,-9,1,12000.0,20000,-9,-9,-9,-9,1,1. 负责基于Android平台的软件设计、开发，产品维护、迭代; 2. 依据业务需求进行相应模块功能开发; 3. 负责项目软件文件的编制与维护。,6,0,"1+软件工程,计算机",0,0,0,0,0,0,0,1,0,0,0,0,"1、5年及以上Android开发经验，熟练的Java语言
2、具有Android APP设计和开发经验，能够独立设计和开发
3、熟悉多线程原理、常用的数据结构和算法、文件存储、数据库及持久化、TCP/IP和HTTP等网络协议
4、熟悉Rxjava、Retrofit、Okhttp、Glide、Gson等开源框架的使用和工作原理
5、熟悉mvc、mvp、mvvm等软件架构、Android UI布局、常用动画、掌握自定义View控件，熟悉Android常用API
6、熟悉usb和串口通信协议，有usb/串口开发经验优先
7、 有JNI/NDK开发经验优先,熟悉Kotlin语言优先
8、 性格开朗，做事认真，责任心强，有耐心，有良好的团队合作精神",0,3,-9,0,-9.0,-9.0,0,0.0
697b28f8a224588b461e70fd,1,深圳市信银企业服务有限公司,91440300MA5ETYQA7Y,4,0,-8,,7,-9,2025,9,10,银行客户经理,4-05-01,,,,,大连,甘井子区,深圳市福田区福田街道福华一路121号中信银行大厦,1,5000.0,10000,-9,-9,-9,-9,1,1. 通过开展信用卡，借贷关联，借发贷，专属理财个人消费贷产品推广业务，负责客户对金融产品全体验服务，入职深圳信银企业服务有限公司（中信银行信用卡中心工会委员会全资控股企业），在信用卡大连分中心开展人才培养计划，符合成绩优异者，入分行正式行编零售客户经理序列。,5,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、分行个金客户经理培养计划，通过开展信用卡，借贷关联，借发贷，专属理财个人消费贷产品推广业务，负责客户对金融产品全体验服务，入职深圳信银企业服务有限公司（中信银行信用卡中心工会委员会全资控股企业），在信用卡大连分中心开展人才培养计划，符合成绩优异者，入分行正式行编零售客户经理序列。,0,0,-9,0,-9.0,-9.0,0,0.0
697b2959a224588b461ef6e6,1,-9,-9,-9,0,-8,,-9,-9,2025,9,10,授薪律师,2-07-04,,,,,天津,和平区,-9,1,6000.0,9000,-9,-9,-9,-9,1,1. 可以接受短期出差，出差地点武汉; 2. 专业方向：资本市场/企业并购/不良资产处置等; 3. 待遇：提供在天津市具有竞争力的基本薪酬，节假日福利待遇优厚；提供定期业务培训；具有明确的职业发展规划及岗位提升路径。具体面谈。; 4. 招聘要求：1、年龄：*****2、性别：不限3、学历：五院四系政法院校或其他高等院校法学院系毕业，硕士及以上学历，本科学历能力突出者亦可，全职。4、职业资格：或通过法律职业资格考试5、工作经验：具有仲裁机构、上市公司、大型企业集团、红圈律师所工作经历，金融会计类证书者。6、工作技能：逻辑清晰、表达流畅，具有较强的学习能力及较好的文字写作功底，具有团队合作精神。,7,1,1+法学,0,0,1,0,0,0,0,0,0,0,0,0,1、年龄2、性别：不限3、学历：五院四系政法院校或其他高等院校法学院系毕业，硕士及以上学历，本科学历能力突出者亦可，全职。4、职业资格：或通过法律职业资格考试5、工作经验：具有仲裁机构、上市公司、大型企业集团、红圈律师所工作经历，金融会计类证书者。6、工作技能：逻辑清晰、表达流畅，具有较强的学习能力及较好的文字写作功底，具有团队合作精神。,1,0,1,0,-9.0,-9.0,0,0.0
697b2969a224588b461f0cb7,1,中汇（天津）税务师事务所有限公司,911201035661240450,4,0,-8,,12,-9,2025,9,10,KA经理,4-01-02,,,,,天津,河西区,河西区黄埔南路与围堤道交口西南侧峰汇广场1.2.3502A室,1,6000.0,10000,-9,-9,-9,-9,1,1. 收集销售渠道及合作伙伴线索，建立精准的渠道合作伙伴数据库； 2. 达成与渠道伙伴的首次合作关系，使其以居间人身份面向客户推荐公司的税务解决方案； 3. 维护渠道合作关系，推动渠道合作伙伴开发更多客户线索、深度挖掘现有客户需求和促进客户成交； 4. 根据销售线索和客户关系，与客户沟通需求、提供相应解决方案，完成客户的销售成交； 5. 完成合同签署、客户项目的收款和渠道费用支付等商务工作,5,-8,"1+计算机,财务,食品",0,0,0,0,0,0,0,1,0,0,1,0,"1、专科以上学历，财务、计算机、食品专业优先
2、 3年以上ToB直客销售或渠道拓展经验，有被证实的销售业绩
3、有防伪印刷、快消品等领域的客户或渠道资源优先
4、有强烈的目标感，以结果为导向，抗压能力强
5、 有较强的成功欲望和自我驱动力",0,2,-9,0,-9.0,-9.0,0,0.0
697b298ea224588b461f368c,1,91320205MA1YENAJ8Q,91320205MA1YENAJ8Q,4,0,-8,,18,1,2025,9,10,篮球教练,2-08-99,,,,,无锡,锡山区,无锡市锡山区东港镇万花城市广场39203,1,10000.0,12000,-9,-9,-9,-9,1,1. 编写篮球教案和制定教学计划; 2. 负责青少年儿童篮球教学; 3. 教销一体，高额提成，一年十三薪到十四薪！,5,-8,1+体育,0,0,0,1,0,0,0,0,0,0,0,0,1、扎实的篮球技术和丰富的教学经验，能够编写篮球教案和制定教学计划，负责青少年儿童篮球教学，具备教销一体能力。,1,1,1,0,-9.0,-9.0,0,0.0
697b29b8a224588b461f5e7a,1,武汉港迪技术股份有限公司,91420100MA4KL3B99W,4,1,301633,,3,-9,2025,9,10,PLC程序工程师,2-02-11,,,,,武汉,江夏区,武汉市东湖开发区武汉理工大学科技园理工园路6号D车间,1,9000.0,14000,-9,-9,-9,-9,1,1. 能识别电气图纸主要元器件及熟练掌握电气控制原理; 2. 熟悉低压元器件功能、特性及型号选择; 3. 熟悉PLC应用编程及变频器应用调试; 4. 有西门子1200、1500系列PLC、AB PLC调试经验者优先; 5. 能适应经常出差。,6,0,"1+电力,电气,机电",0,0,0,0,0,0,0,1,0,0,0,0,"1、电气、电力、机电相关专业大学本科以上学历，（有经验及能力者可适当放宽）
2、能识别电气图纸主要元器件及熟练掌握电气控制原理
3、熟悉低压元器件功能、特性及型号选择
4、熟悉PLC应用编程及变频器应用调试
5、有西门子1200、1500系列PLC、AB PLC调试经验者优先
6、能适应经常出差",0,1,-9,0,-9.0,-9.0,0,0.0
697b29eca224588b461f8fa1,1,南京贝想婴幼儿保育有限公司,91320115MA1MRNBRXY,4,0,-8,,15,-9,2025,9,10,厨师,4-03-02,,,,,南京,六合区,南京市江宁区麒麟街道麒东路777号东郊小镇邻里中心5102,1,3000.0,4000,-9,-9,-9,-9,1,1. 负责托育中心食堂主厨工作; 2. 幼儿一餐两点的制作; 3. 厨房食品安全的保证,0,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,"1.年龄40-55周岁
2.喜欢烹饪，会做简单面点
3.能吃苦、爱干净，会识字",0,0,-9,0,5.0,-9.0,0,0.0
697b29ffa224588b461fa52d,1,南京竹海生物科技有限公司,91320116MA1TCKQG1R,4,0,-8,,3,-9,2025,9,10,研发工程师,2-02-07,,,,,南京,六合区,南京市高淳区经济开发区戴卫西路33号,1,7000.0,10000,-9,-9,-9,-9,1,1. 参与产品预研阶段的实验工作，初步确定产品性能指标、工艺流程和物料采购信息; 2. 编制、改进产品标准/技术要求、产品图纸、工艺流程、检验规程等技术文件; 3. 负责设计开发技术文档的编写、整理、审核和归档; 4. 编写研发相关的验证确认方案，开展验证确认工作并形成报告; 5. 在技术部经理指导下，进行风险管理策划，进行风险管理活动，形成风险管理报告; 6. 产品改进及技术支持，包括生产工艺的持续改进，技术文件的变更以及培训工作; 7. 协助公司产品注册的立项、注册、并提供技术支持等工作,5,-8,"1+材料,医学,化学,生物,药学",0,0,0,0,0,0,1,1,0,1,0,0,"1．本科及以上学历，具有材料、生物、化学、药学、医学等相关专业
2．熟悉ISO13485质量管理体系和医疗器械法律法规
3．熟悉医疗器械产品的开发流程和DHF、DMR等相关技术文档的编写，具有一定的医疗器械产品设计开发和风险分析能力
4．具有较强的学习能力和执行力
5．工作严谨细致，吃苦耐劳，责任心和团队合作意识强",0,1,-9,0,-9.0,-9.0,0,0.0
697b29ffa224588b461fa73e,1,江苏大盛艺境文化产业发展有限公司,9132011307587786X8,4,0,-8,,12,1,2025,9,10,装饰造价员,2-02-30,,,,,南京,栖霞区,南京市栖霞区马群街道紫东路1号紫东国际创意园F3502504,1,8000.0,10000,-9,-9,-9,-9,1,"1. 建筑工程、造价、预算相关专业大专以上学历; 2. 1年以上相关专业工装预决算工作经验,具备较强的分析控制能力、组织协调能力和谈判能力; 3. 能够在主管带领下完成装饰专业预决算、洽商、签证、预算成本的编制工作，和招投标工作; 4. 熟练使用计算机和未来造价软件,工作细致,原则性强,具有团队合作精神; 5. 熟悉招投标流程，能制作投标文件。",5,-8,"1+建筑工程,造价,预算",0,0,0,0,0,0,0,1,0,0,1,0,"1、建筑工程、造价、预算相关专业大专以上学历;2、1年以上相关专业工装预决算工作经验,具备较强的分析控制能力、组织协调能力和谈判能力3、能够在主管带领下完成装饰专业预决算、洽商、签证、预算成本的编制工作，和招投标工作。4、熟练使用计算机和未来造价软件,工作细致,原则性强,具有团队合作精神。5、熟悉招投标流程，能制作投标文件。",1,1,-9,0,-9.0,-9.0,0,0.0
697b2a0fa224588b461fc2a5,1,青岛杠上开花科技有限公司,91370202MA3DF8A79W,6,0,-8,,7,2,2025,9,10,摄像师,4-08-09,4-13-02,,,,青岛,市北区,山东省青岛市市北区龙城路31号卓越世纪中心2号楼12A01,1,8000.0,13000,-9,-9,-9,-9,1,1. 主要就是人物，情景剧，广告等短视频为主，分不同脚本拍摄。能够独立按照脚本内容分镜完成拍摄。,0,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1、有抖音等视频拍摄经验;2、掌握娴熟的摄像机操作技术、简单故障排除。了解电视构图艺术、光线处理和色彩运用;3、具备一定的用剧本和音乐扩充视觉想像的能力;4、熟练使用各种高清及标清摄影设备，具备灯光操作能力;5、熟悉影视拍摄制作流程;6、富有镜头感，可驾御复杂的拍摄现场，实现创作意图;7、有良好的美术功底，对构图和光线有敏锐的感受能力;8、有一定的画面语言叙事能力，对画面和声音具有较强的判断力和领悟力;9、勤奋、敬业、吃苦耐劳，能适应各种拍摄条件，有团队合作精神;10、有一定的拍摄经验，了解不同音频格式编码的转换和应用。,0,0,-9,1,-9.0,-9.0,0,0.0
